Dir: 0 | Index: 0 | Avail: 1
Dir: 0 | Index: 0 | Avail: 2
===============================================================================
Index: 0 | Block: 0 | File Content: 100 1 3 | Status: 1
Index: 111 | Block: 27 | File Content: -1 | Status: 0
Index: 112 | Block: 28 | File Content: -1 | Status: 0
Index: 113 | Block: 28 | File Content: -1 | Status: 0
Index: 114 | Block: 28 | File Content: -1 | Status: 0
Index: 115 | Block: 28 | File Content: -1 | Status: 0
Index: 116 | Block: 29 | File Content: -1 | Status: 0
Index: 117 | Block: 29 | File Content: -1 | Status: 0
Index: 118 | Block: 29 | File Content: -1 | Status: 0
Index: 119 | Block: 29 | File Content: -1 | Status: 0
Index: 120 | Block: 30 | File Content: -1 | Status: 0
Index: 121 | Block: 30 | File Content: -1 | Status: 0
Index: 122 | Block: 30 | File Content: -1 | Status: 0
Index: 123 | Block: 30 | File Content: -1 | Status: 0
Index: 124 | Block: 31 | File Content: -1 | Status: 0
Index: 125 | Block: 31 | File Content: -1 | Status: 0
Index: 126 | Block: 31 | File Content: -1 | Status: 0
Index: 127 | Block: 31 | File Content: -1 | Status: 0
Dir: 1 | Index: 2 | Avail: 2
===============================================================================
Index: 0 | Block: 0 | File Content: 100 1 3 | Status: 1
Index: 1 | Block: 0 | File Content: 200 3 4 | Status: 1
Index: 2 | Block: 0 | File Content: -1 -1 -1 | Status: 0
Index: 3 | Block: 0 | File Content: -1 -1 -1 | Status: 0
===============================================================================
Index: 4 | Block: 1 | File Content: 2 | Status: 1
Index: 5 | Block: 1 | File Content: 3 | Status: 1
Index: 6 | Block: 1 | File Content: -1 | Status: 0
Index: 7 | Block: 1 | File Content: -1 | Status: 0
Index: 8 | Block: 2 | File Content: 101 | Status: 1
Index: 9 | Block: 2 | File Content: 102 | Status: 1
Index: 10 | Block: 2 | File Content: 103 | Status: 1
Index: 11 | Block: 2 | File Content: 104 | Status: 1
Index: 12 | Block: 3 | File Content: 201 | Status: 1
Index: 13 | Block: 3 | File Content: 202 | Status: 1
Index: 14 | Block: 3 | File Content: 203 | Status: 1
Index: 15 | Block: 3 | File Content: -1 | Status: 0
Index: 16 | Block: 4 | File Content: -1 | Status: 0
Index: 17 | Block: 4 | File Content: -1 | Status: 0
Index: 18 | Block: 4 | File Content: -1 | Status: 0
Index: 19 | Block: 4 | File Content: -1 | Status: 0
Index: 20 | Block: 5 | File Content: -1 | Status: 0
Index: 21 | Block: 5 | File Content: -1 | Status: 0
Index: 22 | Block: 5 | File Content: -1 | Status: 0
Index: 23 | Block: 5 | File Content: -1 | Status: 0
Index: 24 | Block: 6 | File Content: -1 | Status: 0
Index: 25 | Block: 6 | File Content: -1 | Status: 0
Index: 26 | Block: 6 | File Content: -1 | Status: 0
Index: 27 | Block: 6 | File Content: -1 | Status: 0
Index: 28 | Block: 7 | File Content: -1 | Status: 0
Index: 29 | Block: 7 | File Content: -1 | Status: 0
Index: 30 | Block: 7 | File Content: -1 | Status: 0
Index: 31 | Block: 7 | File Content: -1 | Status: 0
Index: 32 | Block: 8 | File Content: -1 | Status: 0
Index: 33 | Block: 8 | File Content: -1 | Status: 0
Index: 34 | Block: 8 | File Content: -1 | Status: 0
Index: 35 | Block: 8 | File Content: -1 | Status: 0
Index: 36 | Block: 9 | File Content: -1 | Status: 0
Index: 37 | Block: 9 | File Content: -1 | Status: 0
Index: 38 | Block: 9 | File Content: -1 | Status: 0
Index: 39 | Block: 9 | File Content: -1 | Status: 0
Index: 40 | Block: 10 | File Content: -1 | Status: 0
Index: 41 | Block: 10 | File Content: -1 | Status: 0
Index: 42 | Block: 10 | File Content: -1 | Status: 0
Index: 43 | Block: 10 | File Content: -1 | Status: 0
Index: 44 | Block: 11 | File Content: -1 | Status: 0
Index: 45 | Block: 11 | File Content: -1 | Status: 0
Index: 46 | Block: 11 | File Content: -1 | Status: 0
Index: 47 | Block: 11 | File Content: -1 | Status: 0
Index: 48 | Block: 12 | File Content: -1 | Status: 0
Index: 49 | Block: 12 | File Content: -1 | Status: 0
Index: 50 | Block: 12 | File Content: -1 | Status: 0
Index: 51 | Block: 12 | File Content: -1 | Status: 0
Index: 52 | Block: 13 | File Content: -1 | Status: 0
Index: 53 | Block: 13 | File Content: -1 | Status: 0
Index: 54 | Block: 13 | File Content: -1 | Status: 0
Index: 55 | Block: 13 | File Content: -1 | Status: 0
Index: 56 | Block: 14 | File Content: -1 | Status: 0
Index: 57 | Block: 14 | File Content: -1 | Status: 0
Index: 58 | Block: 14 | File Content: -1 | Status: 0
Index: 59 | Block: 14 | File Content: -1 | Status: 0
Index: 60 | Block: 15 | File Content: -1 | Status: 0
Index: 61 | Block: 15 | File Content: -1 | Status: 0
Index: 62 | Block: 15 | File Content: -1 | Status: 0
Index: 63 | Block: 15 | File Content: -1 | Status: 0
Index: 64 | Block: 16 | File Content: -1 | Status: 0
Index: 65 | Block: 16 | File Content: -1 | Status: 0
Index: 66 | Block: 16 | File Content: -1 | Status: 0
Index: 67 | Block: 16 | File Content: -1 | Status: 0
Index: 68 | Block: 17 | File Content: -1 | Status: 0
Index: 69 | Block: 17 | File Content: -1 | Status: 0
Index: 70 | Block: 17 | File Content: -1 | Status: 0
Index: 71 | Block: 17 | File Content: -1 | Status: 0
Index: 72 | Block: 18 | File Content: -1 | Status: 0
Index: 73 | Block: 18 | File Content: -1 | Status: 0
Index: 74 | Block: 18 | File Content: -1 | Status: 0
Index: 75 | Block: 18 | File Content: -1 | Status: 0
Index: 76 | Block: 19 | File Content: -1 | Status: 0
Index: 77 | Block: 19 | File Content: -1 | Status: 0
Index: 78 | Block: 19 | File Content: -1 | Status: 0
Index: 79 | Block: 19 | File Content: -1 | Status: 0
Index: 80 | Block: 20 | File Content: -1 | Status: 0
Index: 81 | Block: 20 | File Content: -1 | Status: 0
Index: 82 | Block: 20 | File Content: -1 | Status: 0
Index: 83 | Block: 20 | File Content: -1 | Status: 0
Index: 84 | Block: 21 | File Content: -1 | Status: 0
Index: 85 | Block: 21 | File Content: -1 | Status: 0
Index: 86 | Block: 21 | File Content: -1 | Status: 0
Index: 87 | Block: 21 | File Content: -1 | Status: 0
Index: 88 | Block: 22 | File Content: -1 | Status: 0
Index: 89 | Block: 22 | File Content: -1 | Status: 0
Index: 90 | Block: 22 | File Content: -1 | Status: 0
Index: 91 | Block: 22 | File Content: -1 | Status: 0
Index: 92 | Block: 23 | File Content: -1 | Status: 0
Index: 93 | Block: 23 | File Content: -1 | Status: 0
Index: 94 | Block: 23 | File Content: -1 | Status: 0
Index: 95 | Block: 23 | File Content: -1 | Status: 0
Index: 96 | Block: 24 | File Content: -1 | Status: 0
Index: 97 | Block: 24 | File Content: -1 | Status: 0
Index: 98 | Block: 24 | File Content: -1 | Status: 0
Index: 99 | Block: 24 | File Content: -1 | Status: 0
Index: 100 | Block: 25 | File Content: -1 | Status: 0
Index: 101 | Block: 25 | File Content: -1 | Status: 0
Index: 102 | Block: 25 | File Content: -1 | Status: 0
Index: 103 | Block: 25 | File Content: -1 | Status: 0
Index: 104 | Block: 26 | File Content: -1 | Status: 0
Index: 105 | Block: 26 | File Content: -1 | Status: 0
Index: 106 | Block: 26 | File Content: -1 | Status: 0
Index: 107 | Block: 26 | File Content: -1 | Status: 0
Index: 108 | Block: 27 | File Content: -1 | Status: 0
Index: 109 | Block: 27 | File Content: -1 | Status: 0
Index: 110 | Block: 27 | File Content: -1 | Status: 0
Index: 111 | Block: 27 | File Content: -1 | Status: 0
Index: 112 | Block: 28 | File Content: -1 | Status: 0
Index: 113 | Block: 28 | File Content: -1 | Status: 0
Index: 114 | Block: 28 | File Content: -1 | Status: 0
Index: 115 | Block: 28 | File Content: -1 | Status: 0
Index: 116 | Block: 29 | File Content: -1 | Status: 0
Index: 117 | Block: 29 | File Content: -1 | Status: 0
Index: 118 | Block: 29 | File Content: -1 | Status: 0
Index: 119 | Block: 29 | File Content: -1 | Status: 0
Index: 120 | Block: 30 | File Content: -1 | Status: 0
Index: 121 | Block: 30 | File Content: -1 | Status: 0
Index: 122 | Block: 30 | File Content: -1 | Status: 0
Index: 123 | Block: 30 | File Content: -1 | Status: 0
Index: 124 | Block: 31 | File Content: -1 | Status: 0
Index: 125 | Block: 31 | File Content: -1 | Status: 0
Index: 126 | Block: 31 | File Content: -1 | Status: 0
Index: 127 | Block: 31 | File Content: -1 | Status: 0
